2025-12-08T12:42:25.674643,50,504,blindspot_overflow_death
2025-12-08T12:42:25.674656,118,504,blindspot_overflow_death
2025-12-08T12:42:25.674684,35,505,blindspot_overflow_death
2025-12-08T12:42:25.674696,59,505,blindspot_overflow_death
2025-12-08T12:42:25.674708,134,505,blindspot_overflow_death
2025-12-08T12:42:25.674726,19,506,blindspot_overflow_death
2025-12-08T12:42:25.674807,20,508,blindspot_overflow_death
2025-12-08T12:42:25.674816,47,508,blindspot_overflow_death
2025-12-08T12:42:25.674851,36,509,blindspot_overflow_death
2025-12-08T12:42:25.674862,87,509,blindspot_overflow_death
2025-12-08T12:42:25.674872,143,509,blindspot_overflow_death
2025-12-08T12:42:25.674876,154,509,blindspot_overflow_death
2025-12-08T12:42:25.674879,166,509,blindspot_overflow_death
2025-12-08T12:42:25.674881,167,509,blindspot_overflow_death
2025-12-08T12:42:25.674889,193,509,blindspot_overflow_death
2025-12-08T12:42:25.674912,176,510,blindspot_overflow_death
2025-12-08T12:42:25.674915,178,510,blindspot_overflow_death
2025-12-08T12:42:25.674942,26,512,blindspot_overflow_death
2025-12-08T12:42:25.674946,43,512,blindspot_overflow_death
2025-12-08T12:42:25.674959,128,512,blindspot_overflow_death
2025-12-08T12:42:25.674976,89,513,blindspot_overflow_death
2025-12-08T12:42:25.674982,150,513,blindspot_overflow_death
2025-12-08T12:42:25.674992,54,514,blindspot_overflow_death
2025-12-08T12:42:25.674995,74,514,blindspot_overflow_death
2025-12-08T12:42:25.674998,107,514,blindspot_overflow_death
2025-12-08T12:42:25.675003,189,514,blindspot_overflow_death
2025-12-08T12:42:25.675016,48,516,blindspot_overflow_death
2025-12-08T12:42:25.675022,142,516,blindspot_overflow_death
2025-12-08T12:42:25.675026,29,517,blindspot_overflow_death
2025-12-08T12:42:25.675032,49,518,blindspot_overflow_death
2025-12-08T14:46:18.436957,10,436,436,blindspot_overflow_death,0.188762,-6.47195
2025-12-08T14:46:18.438149,61,436,436,blindspot_overflow_death,0.528352,-17.817017
2025-12-08T14:46:18.438417,25,437,437,blindspot_overflow_death,0.112048,-3.590259
2025-12-08T14:46:18.438800,67,438,438,blindspot_overflow_death,0.414329,-12.20801
