t,name,P,R,Xi,death_type
1,HAT-P-7 b,0.4587,0.9951,0.1647,alive
1,Kepler-560 b,0.9593,0.4728,0.7684,alive
1,Kepler-150 d,0.8444,0.4504,0.172,alive
1,Kepler-498 b,0.6301,0.9643,0.5497,alive
1,Kepler-817 b,0.6177,0.0,0.0451,alive
1,Kepler-937 b,0.5404,0.0,0.1806,alive
1,K2-10 b,0.6367,0.262,0.246,alive
1,Kepler-571 b,0.6096,0.8061,0.4985,alive
1,Kepler-1458 b,0.6234,0.0,0.2682,alive
1,K2-335 b,0.1609,0.5263,0.2936,alive
1,Kepler-1600 c,0.5812,0.0,0.068,alive
1,HIP 41378 f,0.3797,0.797,0.3412,alive
1,Kepler-221 d,0.88,0.0,0.2972,alive
1,Kepler-626 b,0.4494,0.243,0.3566,alive
1,K2-39 b,0.7629,0.0,0.5677,alive
1,Kepler-1549 b,0.652,0.9353,0.1595,alive
1,K2-62 c,0.8162,0.9894,0.5794,alive
1,Kepler-1149 b,0.5817,0.0271,0.3712,alive
1,Kepler-1288 b,0.5455,0.0,0.2742,alive
1,Kepler-128 b,0.379,0.9817,0.5595,alive
1,Kepler-1245 b,0.6865,0.0,0.2881,alive
1,Kepler-1068 b,0.5724,0.2259,0.3178,alive
1,Kepler-311 c,0.8078,0.6445,0.1029,alive
1,Kepler-150 e,0.8444,0.0,0.2065,alive
1,Kepler-272 c,0.0,0.9833,0.6486,dead
1,Kepler-152 c,0.8928,0.0,0.018,alive
1,Kepler-1506 b,0.6498,0.0,0.5109,alive
1,HAT-P-22 b,0.0,0.2498,0.8353,dead
1,K2-25 b,0.9927,0.0,0.3433,alive
1,CoRoT-3 b,0.5165,0.0,0.4584,alive
1,HD 205739 b,0.5329,0.9845,0.418,alive
1,NGTS-10 b,0.5797,0.9363,0.089,alive
1,HD 224693 b,0.1906,0.6322,0.7098,alive
1,HD 156279 b,0.6487,0.9857,0.0615,alive
1,HD 12661 b,0.0,0.8349,0.8369,dead
1,2MASS J12073346-3932539 b,0.9999,0.0,0.0658,alive
1,HD 16417 b,0.0,0.8479,0.4788,dead
1,HD 19994 b,0.4773,0.0,0.2824,alive
1,61 Vir b,0.2282,0.1453,0.1402,alive
1,HD 156279 c,0.6487,0.0,0.031,alive
1,GJ 179 b,0.95,0.0,0.6017,alive
1,GQ Lup b,0.9999,0.3392,0.6249,alive
1,GJ 832 b,0.89,0.9627,0.7843,alive
1,HD 37605 b,0.5159,0.1977,0.1703,alive
1,HD 33283 b,0.1877,0.0,0.0486,alive
1,Kepler-4 b,0.2555,0.0,0.4784,alive
1,HD 9446 b,0.4999,0.748,0.2703,alive
1,61 Vir c,0.2282,0.8072,0.3523,alive
1,61 Vir d,0.2282,0.8943,0.3591,alive
1,HD 134987 c,0.0,0.3883,0.5551,dead
1,HD 110014 b,0.3403,0.5843,0.0018,alive
1,HD 79498 b,0.6714,0.9985,0.0484,alive
1,WASP-43 b,0.8206,0.9837,0.4682,alive
1,HD 45652 b,0.318,0.0,0.2593,alive
1,HIP 79431 b,0.9159,0.0,0.3626,alive
1,HD 3167 b,0.5,0.3864,0.1457,alive
1,GJ 876 b,0.99,0.0,0.4949,alive
1,HD 114783 c,0.5389,0.98,0.5184,alive
1,HD 47186 c,0.413,0.9848,0.0703,alive
1,HD 114783 b,0.5967,0.9628,0.4858,alive
1,HD 148156 b,0.1778,0.8593,0.018,alive
1,HD 12661 c,0.3285,0.0,0.071,alive
1,HIP 14810 c,0.4012,0.1351,0.4146,alive
1,HIP 14810 b,0.4012,0.5455,0.1862,alive
1,GJ 876 d,0.99,0.9614,0.3497,alive
1,GJ 876 e,0.99,0.9693,0.7837,alive
1,gam1 Leo b,0.5951,0.4844,0.3503,alive
1,HAT-P-12 b,0.885,0.997,0.0478,alive
1,HD 156411 b,0.2521,0.9141,0.0685,alive
1,HD 8535 b,0.3212,0.9785,0.6308,alive
1,HD 37605 c,0.5159,0.0,0.024,alive
1,K2-138 c,0.7632,0.8744,0.7297,alive
1,HD 1605 c,0.1104,0.8858,0.6013,alive
1,HAT-P-18 b,0.3548,0.0,0.1623,alive
1,WASP-31 b,0.854,0.0,0.2714,alive
1,BD+20 2457 b,0.0,0.0,0.8148,dead
1,HD 240210 b,0.6903,0.9959,0.3304,alive
1,CoRoT-17 b,0.0,0.1181,0.5632,dead
1,HD 132563 b,0.6115,0.0,0.3536,alive
1,HD 55696 b,0.5008,0.9906,0.4646,alive
1,HD 148164 b,0.6117,0.6842,0.1505,alive
1,24 Sex c,0.2051,0.9104,0.0668,alive
1,K2-138 f,0.7632,0.0,0.4038,alive
1,CoRoT-5 b,0.3099,0.0,0.1579,alive
1,HD 192310 c,0.5529,0.0,0.3772,alive
1,HD 22781 b,0.7661,0.0,0.6343,alive
1,HD 68988 b,0.0,0.0,0.6747,dead
1,HD 148164 c,0.6117,0.9426,0.2639,alive
1,HD 29985 b,0.7564,0.2399,0.4682,alive
1,HD 221416 b,0.2074,0.5294,0.6172,alive
1,HD 3167 c,0.5,0.1119,0.1031,alive
1,HD 90156 b,0.7154,0.8562,0.22,alive
1,KOI-217 b,0.8504,0.3061,0.0849,alive
1,HD 45350 b,0.2393,0.5553,0.4887,alive
1,TrES-3 b,0.9253,0.0,0.2768,alive
1,WASP-10 b,0.659,0.0,0.2974,alive
1,Kepler-14 b,0.3813,0.2449,0.3991,alive
1,MOA-2009-BLG-266L b,0.8826,0.0,0.189,alive
1,Kepler-15 b,0.613,0.0,0.1465,alive
1,Kepler-595 c,0.7747,0.7191,0.2117,alive
1,Kepler-595 b,0.7747,0.9792,0.1847,alive
1,HD 177830 c,0.0,0.9,0.3297,dead
1,ups And c,0.0364,0.6073,0.1409,alive
1,WASP-5 b,0.5123,0.8675,0.2293,alive
1,OGLE-TR-111 b,0.4641,0.9182,0.0797,alive
1,Kepler-17 b,0.8013,0.8279,0.5299,alive
1,CoRoT-18 b,0.9471,0.0,0.6724,alive
1,HD 192310 b,0.5529,0.0,0.1885,alive
1,PSR B1257+12 b,0.304,0.0,0.4234,alive
1,PSR B1257+12 d,0.304,0.0,0.1002,alive
1,ups And d,0.0364,0.9982,0.7107,alive
1,MOA-2007-BLG-192L b,0.95,0.8873,0.832,alive
1,Kepler-40 b,0.2536,0.7963,0.6607,alive
1,TOI-756 b,0.942,0.0,0.813,alive
1,HD 107148 b,0.2564,0.6395,0.2915,alive
1,SWEEPS-11 b,0.3653,0.0,0.4092,alive
1,OGLE-TR-211 b,0.4694,0.0,0.225,alive
1,Lupus-TR-3 b,0.6469,0.0,0.1324,alive
1,OGLE-2005-BLG-390L b,0.95,0.5907,0.483,alive
1,HN Peg b,0.9635,0.0,0.2221,alive
1,HD 102365 b,0.4004,0.0,0.1872,alive
1,MOA-2009-BLG-387L b,0.95,0.3715,0.9168,alive
1,GJ 674 b,0.9945,0.0,0.7618,alive
1,WASP-96 b,0.0744,0.0572,0.4458,alive
1,HD 69830 c,0.5198,0.2523,0.0049,alive
1,2MASS J04414489+2301513 b,1.0,0.9721,0.9829,alive
1,WASP-21 b,0.0,0.0,0.2934,dead
1,GJ 3634 b,0.9321,0.9915,0.2081,alive
1,HAT-P-4 b,0.3212,0.0,0.0615,alive
1,OGLE-TR-10 b,0.5697,0.0,0.3389,alive
1,TOI-178 g,0.7979,0.9792,0.128,alive
1,TOI-178 e,0.7979,0.9912,0.212,alive
1,HD 27442 b,0.0,0.0,0.2421,dead
1,HD 69830 d,0.5198,0.0,0.3496,alive
1,GJ 3021 b,0.9715,0.6539,0.5036,alive
1,HAT-P-16 b,0.6724,0.3,0.6166,alive
1,CoRoT-8 b,0.782,0.0,0.0679,alive
1,OGLE-TR-113 b,0.2929,0.8547,0.4788,alive
1,HD 46375 b,0.2693,0.668,0.0532,alive
1,HD 147513 b,0.9609,0.9594,0.9105,alive
1,HD 221287 b,0.7727,0.9783,0.721,alive
1,HD 33564 b,0.4757,0.0,0.1266,alive
1,CoRoT-11 b,0.6363,0.0,0.0989,alive
1,K2-138 g,0.7632,0.0,0.3558,alive
1,CoRoT-12 b,0.2398,0.9548,0.1432,alive
1,HAT-P-28 b,0.3511,0.8006,0.1904,alive
1,HD 129445 b,0.5123,0.5445,0.27,alive
1,Kepler-419 c,0.5123,0.2471,0.3478,alive
1,GJ 3470 b,0.9648,0.8768,0.7166,alive
1,51 Eri b,0.9915,0.0,0.6778,alive
1,HD 70573 b,0.9897,0.0576,0.1237,alive
1,HD 47536 b,0.0,0.0,0.1798,dead
1,CoRoT-13 b,0.7971,0.9873,0.6718,alive
1,CoRoT-14 b,0.4298,0.9648,0.1605,alive
1,47 UMa c,0.2503,0.9811,0.4468,alive
1,47 UMa b,0.2503,0.9058,0.212,alive
1,47 UMa d,0.2503,0.0,0.1699,alive
1,MOA-2008-BLG-310L b,0.95,0.1472,0.0923,alive
1,Kepler-419 b,0.5123,0.6903,0.3755,alive
1,HD 24040 b,0.1327,0.0,0.7344,alive
1,K2-138 e,0.7632,0.0,0.0898,alive
1,HD 11964 c,0.4114,0.7379,0.3872,alive
1,CoRoT-6 b,0.7175,0.9545,0.3265,alive
