t,name,P,R,Xi,death_type
1,HD 11964 c,0.4114,0.9731,0.3706,alive
1,CoRoT-6 b,0.7175,0.23,0.0492,alive
1,HAT-P-2 b,0.706,0.8815,0.1978,alive
1,Kepler-59 c,0.9712,0.9601,0.862,alive
1,Kepler-58 c,0.8117,0.8781,0.435,alive
1,HD 154857 c,0.0,0.0,0.1363,dead
1,GJ 357 d,0.95,0.2897,0.2207,alive
1,Kepler-51 c,0.9668,0.0,0.5091,alive
1,BD-210397 c,0.8418,0.0,0.3023,alive
1,Kepler-62 c,0.7231,0.9917,0.6775,alive
1,Kepler-62 b,0.7231,0.1844,0.4064,alive
1,CHXR 73 b,1.0,0.321,0.4542,alive
1,FU Tau b,1.0,0.0,0.2855,alive
1,GJ 667 C b,0.98,0.9784,0.3912,alive
1,HD 168443 c,0.0,0.0,0.7969,dead
1,Kepler-59 b,0.9712,0.6677,0.8269,alive
1,Kepler-53 b,0.9714,0.1322,0.3408,alive
1,HD 82943 c,0.715,0.6084,0.3682,alive
1,HD 82943 b,0.715,0.9138,0.5599,alive
1,UZ For b,0.795,0.9496,0.2053,alive
1,Kepler-69 b,0.2217,0.7908,0.6137,alive
1,HIP 5158 c,0.6776,0.5094,0.0617,alive
1,HU Aqr AB b,0.6367,0.605,0.1214,alive
1,HD 63433 c,0.9629,0.8996,0.857,alive
1,Kepler-52 c,0.9783,0.0,0.7963,alive
1,Kepler-55 b,0.9291,0.1967,0.1158,alive
1,UZ For c,0.795,0.0,0.6946,alive
1,Kepler-413 b,0.6955,0.9909,0.2658,alive
1,Earth,0.9999,0.8584,0.0001,alive
1,Mars,0.9999,0.5956,0.0001,alive
2,Kepler-1167 b,0.7631,0.0,0.1544,alive
2,Kepler-1740 b,0.5681,0.165,0.0507,alive
2,Kepler-1581 b,0.4462,0.9911,0.1048,alive
2,Kepler-644 b,0.5606,0.0,0.132,alive
2,Kepler-1752 b,0.5561,0.0,0.2586,alive
2,Kepler-280 c,0.4897,0.0,0.4234,alive
2,Kepler-1208 b,0.744,0.8993,0.3243,alive
2,Kepler-263 c,0.8745,0.8382,0.3226,alive
2,HD 136352 b,0.1315,0.8244,0.0869,alive
2,Kepler-1101 b,0.6341,0.7203,0.1008,alive
2,HD 168746 b,0.0524,0.6764,0.7365,alive
2,HAT-P-7 b,0.4585,0.5748,0.0727,alive
2,Kepler-560 b,0.9593,0.9395,0.29,alive
2,Kepler-150 d,0.8444,0.0,0.5441,alive
2,Kepler-498 b,0.63,0.983,0.3443,alive
2,Kepler-817 b,0.6176,0.0,0.1882,alive
2,Kepler-937 b,0.5403,0.0,0.1008,alive
2,K2-10 b,0.6367,0.0,0.5064,alive
2,Kepler-571 b,0.6095,0.9738,0.0199,alive
2,Kepler-1458 b,0.6233,0.9539,0.1157,alive
2,K2-335 b,0.1608,0.7672,0.0122,alive
2,Kepler-1600 c,0.5811,0.0,0.0661,alive
2,HIP 41378 f,0.3796,0.9886,0.3915,alive
2,Kepler-221 d,0.8799,0.0,0.1196,alive
2,Kepler-626 b,0.4493,0.4294,0.3513,alive
2,K2-39 b,0.7628,0.0927,0.1797,alive
2,Kepler-1549 b,0.6519,0.0,0.4169,alive
2,K2-62 c,0.8162,0.998,0.5119,alive
2,Kepler-1149 b,0.5816,0.0,0.1132,alive
2,Kepler-1288 b,0.5455,0.6733,0.1509,alive
2,Kepler-128 b,0.3789,0.0,0.606,alive
2,Kepler-1245 b,0.6865,0.9767,0.0768,alive
2,Kepler-1068 b,0.5723,0.9072,0.1239,alive
2,Kepler-311 c,0.8078,0.9616,0.4358,alive
2,Kepler-150 e,0.8444,0.7098,0.0791,alive
2,Kepler-272 c,0.0,0.965,0.7626,dead
2,Kepler-152 c,0.8928,0.0,0.6769,alive
2,Kepler-1506 b,0.6498,0.9596,0.1375,alive
2,HAT-P-22 b,0.0,0.0,0.3623,dead
2,K2-25 b,0.9927,0.0,0.3907,alive
2,CoRoT-3 b,0.5164,0.1405,0.0345,alive
2,HD 205739 b,0.5329,0.2767,0.069,alive
2,NGTS-10 b,0.5796,0.3396,0.0704,alive
2,HD 224693 b,0.1905,0.9935,0.1033,alive
2,HD 156279 b,0.6486,0.0,0.5791,alive
2,HD 12661 b,0.0,0.997,0.6643,dead
2,2MASS J12073346-3932539 b,0.9999,0.5668,0.8285,alive
2,HD 16417 b,0.0,0.3832,0.2415,dead
2,HD 19994 b,0.4772,0.0,0.5183,alive
2,61 Vir b,0.2282,0.3009,0.5042,alive
2,HD 156279 c,0.6486,0.8887,0.153,alive
2,GJ 179 b,0.95,0.0,0.263,alive
2,GQ Lup b,0.9999,0.6675,0.2448,alive
2,GJ 832 b,0.8899,0.253,0.2424,alive
2,HD 37605 b,0.5158,0.7872,0.0126,alive
2,HD 33283 b,0.1876,0.8114,0.236,alive
2,Kepler-4 b,0.2554,0.8763,0.5138,alive
2,HD 9446 b,0.4999,0.0,0.4941,alive
2,61 Vir c,0.2282,0.103,0.3397,alive
2,61 Vir d,0.2282,0.8739,0.753,alive
2,HD 134987 c,0.0,0.0,0.3155,dead
2,HD 110014 b,0.34,0.4781,0.1254,alive
2,HD 79498 b,0.6713,0.9335,0.5804,alive
2,WASP-43 b,0.8206,0.5019,0.5945,alive
2,HD 45652 b,0.3179,0.9778,0.1402,alive
2,HIP 79431 b,0.9159,0.8894,0.6609,alive
2,HD 3167 b,0.5,0.0,0.2427,alive
2,GJ 876 b,0.99,0.889,0.4151,alive
2,HD 114783 c,0.5388,0.959,0.3088,alive
2,HD 47186 c,0.4129,0.4857,0.5871,alive
2,HD 114783 b,0.5967,0.0,0.464,alive
2,HD 148156 b,0.1778,0.9915,0.0653,alive
2,HD 12661 c,0.3284,0.0,0.1988,alive
2,HIP 14810 c,0.4011,0.0,0.0041,alive
2,HIP 14810 b,0.4011,0.5212,0.1884,alive
2,GJ 876 d,0.99,0.983,0.1945,alive
2,GJ 876 e,0.99,0.8931,0.136,alive
2,gam1 Leo b,0.595,0.0,0.1061,alive
2,HAT-P-12 b,0.8849,0.946,0.3114,alive
2,HD 156411 b,0.2521,0.6312,0.3252,alive
2,HD 8535 b,0.3211,0.8194,0.6039,alive
2,HD 37605 c,0.5158,0.1237,0.0877,alive
2,K2-138 c,0.7632,0.7052,0.1117,alive
2,HD 1605 c,0.1103,0.0,0.0932,alive
2,HAT-P-18 b,0.3548,0.6952,0.3323,alive
2,WASP-31 b,0.8539,0.2843,0.4493,alive
2,BD+20 2457 b,0.0,0.9824,0.2959,dead
2,HD 240210 b,0.6903,0.3244,0.251,alive
2,CoRoT-17 b,0.0,0.424,0.636,dead
2,HD 132563 b,0.6114,0.9665,0.1615,alive
2,HD 55696 b,0.5007,0.0,0.1816,alive
2,HD 148164 b,0.6116,0.9973,0.4311,alive
2,24 Sex c,0.2049,0.7184,0.0509,alive
2,K2-138 f,0.7632,0.9753,0.6705,alive
